ticker,name,day,price
339770,교촌에프앤비,1,4155
007690,국도화학,1,36850
002720,국제약품,1,5130
083420,그린케미칼,1,5740
014530,극동유화,1,3775
014280,금강공업,1,4905
014285,금강공업우,1,6910
008870,금비,1,45600
001570,금양,1,9900
002990,금호건설,1,5050
002995,금호건설우,1,13940
011780,금호석유화학,1,126500
011785,금호석유화학우,1,58200
214330,금호에이치티,1,473
001210,금호전기,1,782
073240,금호타이어,1,6250
092440,기신정기,1,2320
000270,기아,1,155800
024110,기업은행,1,23550
013700,까뮤이앤씨,1,1259
004540,깨끗한나라,1,2115
004545,깨끗한나라우,1,10600
001260,남광토건,1,8840
008350,남선알미늄,1,1340
008355,남선알미우,1,12530
004270,남성,1,755
003920,남양유업,1,51000
003925,남양유업우,1,40000
025860,남해화학,1,8040
005720,넥센,1,6750
005725,넥센우,1,4495
002350,넥센타이어,1,7370
002355,넥센타이어1우B,1,4480
092790,넥스틸,1,11370
251270,넷마블,1,52200
090350,노루페인트,1,8850
090355,노루페인트우,1,13290
000320,노루홀딩스,1,21900
000325,노루홀딩스우,1,30900
006280,녹십자,1,151000
005250,녹십자홀딩스,1,14260
005257,녹십자홀딩스2우,1,23400
004370,농심,1,375500
072710,농심홀딩스,1,96100
058730,다스코,1,3620
030210,다올투자증권,1,4115
023590,다우기술,1,48300
145210,다이나믹디자인,1,224
483650,달바글로벌,1,154500
019680,대교,1,1638
019685,대교우B,1,1011
006370,대구백화점,1,4920
008060,대덕,1,14740
00806K,대덕1우,1,11740
353200,대덕전자,1,85400
35320K,대덕전자1우,1,19010
000490,대동,1,9830
008110,대동전자,1,14550
005750,대림바스,1,5850
006570,대림통상,1,2010
001680,대상,1,21000
001685,대상우,1,16960
084690,대상홀딩스,1,9450
084695,대상홀딩스우,1,14800
128820,대성산업,1,7040
117580,대성에너지,1,9830
016710,대성홀딩스,1,8640
0030R0,대신밸류리츠,1,4285
003540,대신증권,1,37850
003547,대신증권2우B,1,23700
003545,대신증권우,1,24750
009190,대양금속,1,1271
014160,대영포장,1,1300
047040,대우건설,1,17260
003090,대웅,1,24850
069620,대웅제약,1,167000
000430,대원강업,1,3970
006340,대원전선,1,5270
006345,대원전선우,1,3730
003220,대원제약,1,10520
024890,대원화성,1,785
002880,대유에이텍,1,926
012800,대창,1,1321
015230,대창단조,1,6790
001070,대한방직,1,6860
006650,대한유화,1,133400
001440,대한전선,1,28250
