종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"035000","HS애드","8660","0","0.00","8660","8720","8590","39856","344762370","140358197040","16207644"
"002460","HS화성","12310","20","0.16","12250","12690","11850","32462","398552355","124946500000","10150000"
"487570","HS효성","56000","-200","-0.36","56000","56200","53700","9486","519710700","208651912000","3725927"
"298050","HS효성첨단소재","226000","4500","2.03","213000","226000","211500","14030","3093209250","1012468248000","4479948"
"015360","INVENI","78700","200","0.25","77000","78700","76500","7486","579000200","448590000000","5700000"
"175330","JB금융지주","31100","1100","3.67","29400","31350","28950","453295","13968053100","5854686462400","188253584"
"234080","JW생명과학","13280","110","0.84","13100","13290","12910","28162","369223295","210282877120","15834554"
"001060","JW중외제약","32050","650","2.07","31500","32100","30800","44866","1408163350","746314056500","23285930"
"001067","JW중외제약2우B","56000","-100","-0.18","55100","56000","55100","37","2058500","11758488000","209973"
"001065","JW중외제약우","26900","0","0.00","27500","27500","26500","489","13258950","9198481900","341951"
"096760","JW홀딩스","4360","60","1.40","4300","4375","4215","117262","507544980","322312747120","73924942"
"008970","KBI동양철관","1708","-2","-0.12","1700","1738","1620","656556","1107272806","177233877156","103766907"
"105560","KB금융","152200","0","0.00","146500","153000","146100","1216855","183511314700","56747839251000","372850455"
"415640","KB발해인프라","9960","-20","-0.20","9950","9980","9930","113444","1128828550","1220553658080","122545548"
"432320","KB스타리츠","2360","-165","-6.53","2505","2520","2350","817165","1953681481","239337712600","101414285"
"002380","KCC","525000","0","0.00","506000","526000","498500","26648","13612444500","4665397275000","8886471"
"344820","KCC글라스","25350","-50","-0.20","25100","25450","25000","30201","759997825","404852479200","15970512"
"009070","KCTC","5870","-80","-1.34","5870","5930","5690","277372","1616552835","176100000000","30000000"
"009440","KC그린홀딩스","756","0","0.00","0","0","0","0","0","17568790596","23239141"
"119650","KC코트렐","918","0","0.00","0","0","0","0","0","100782913662","109785309"
"092220","KEC","1803","29","1.63","1774","1869","1708","13171155","23477481985","361975943223","200763141"
"003620","KG모빌리티","3440","-10","-0.29","3390","3450","3350","760902","2576751977","696169697280","202374912"
